label,line,borough,_page,Month,Year,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
SEVENTH AVENUE LINE,,Bronx,3,,,188820999.0,183729280.0,170910415.0,147816455.0,140166808.0,136701800.0,133493114.0,126027192.0,132831660.0,125709854.0
Times Square,,Manhattan,3,,,35915315.0,35783915.0,33654416.0,35743698.0,34052303.0,33941485.0,34646790.0,34047705.0,32736660.0,32804303.0
Pennsylvania Station,,Bronx,3,,,48196796.0,47403448.0,43783019.0,,4618333.0,4409127.0,4330241.0,4534704.0,,
28th Street,,Bronx,3,,,5176072.0,5632658.0,5819613.0,,,,,,5563660.0,
33rd Street,,Bronx,3,,,8018774.0,7752219.0,7193360.0,,3492637.0,3404623.0,2542608.0,2447619.0,3228860.0,3831930.0
18th Street,,Bronx,3,,,4490308.0,4326940.0,4024956.0,,,,,,,
14th Street,,Bronx,3,,,14108843.0,13709850.0,13182647.0,11236893.0,10905783.0,11092098.0,11687581.0,10784360.0,,
"Christopher St., Sheridan Square",,Bronx,3,,,4671551.0,4633997.0,4679118.0,4603680.0,4466397.0,4818017.0,4894929.0,4902232.0,,
Houston Street,,Bronx,3,,,3679451.0,3595804.0,3383680.0,3187840.0,3166458.0,,,,,
Canal Street,,Bronx,3,,,3493059.0,3883820.0,3703964.0,3094090.0,2961548.0,3884296.0,,3984017.0,3407454.0,4186083.0
Franklin Street,,Bronx,3,,,2618609.0,2374436.0,2225125.0,6004910.0,5870213.0,5523457.0,4533488.0,4143558.0,4882082.0,
Chambers Street,,Bronx,3,,,6478303.0,6435880.0,6261503.0,,,9024775.0,8896190.0,,,
Cortlandt Street,,Bronx,3,,,10757492.0,10063791.0,9090268.0,7428421.0,7023625.0,,,1108345.0,2020880.0,2047415.0
Rector Street,,Bronx,3,,,2655979.0,2271914.0,3077184.0,,3220506.0,3384663.0,5514885.0,5697053.0,3727088.0,4018561.0
South Ferry,,Bronx,3,,,,,,3835005.0,2902316.0,2879376.0,5637185.0,,9003887.0,8808220.0
Park Place,,Bronx,3,,,4065586.0,4597997.0,4060683.0,3218279.0,3016234.0,,,9397440.0,,
Fulton & William Streets,,Bronx,3,,,5879753.0,5693190.0,5393590.0,8742371.0,8493197.0,7069942.0,7830757.0,7856648.0,,
Wall & William Streets,,Bronx,3,,,9139069.0,9015784.0,8711647.0,4489093.0,3403406.0,3940100.0,,,,
Clark Street (Brooklyn Heights),,Brooklyn,3,,,4993187.0,4234165.0,3849766.0,4760490.0,4430282.0,3968366.0,3880715.0,3820493.0,3198205.0,3926082.0
Borough Hall,,Brooklyn,3,,,6051935.0,5843543.0,,,,,777.0,311194.0,599356.0,246179.0
Miscellaneous ticket sales,,Brooklyn,3,,,634.0,,2944.0,2138.0,1775.0,1901.0,,,,
LEXINGTON AVE. LINE NET TOTAL,,Manhattan,4,,,804087875.0,804487774.0,198766978.0,188769011.0,278118890.0,278182841.0,278388476.0,278596118.0,167800789.0,183888800.0
"Dr. Adjustment of Joint Traffic, 6th Ave. 'El'",,Manhattan,4,,,7677332.0,9448165.0,8916643.0,2716691.0,1978563.0,181169154.0,281169481.0,181191887.0,89987864.0,91029181.0
Lexington Avenue Line—Gross Total,,Manhattan,4,,,811664807.0,818908939.0,804678981.0,191481717.0,280097461.0,89885817.0,91227888.0,89790181.0,89207218.0,80880888.0
Main Line,,Brooklyn,4,,,43482823.0,38373378.0,32887699.0,30278987.0,8827896.0,6809960.0,7119870.0,7108888.0,8824618.0,8074120.0
Grand Central,,Manhattan,4,,,6698887.0,7018488.0,6888481.0,6698382.0,9406970.0,9232700.0,9788498.0,9678290.0,9494094.0,4649980.0
59th Street,,Manhattan,4,,,10899828.0,8888848.0,9097938.0,8491719.0,8408970.0,8280080.0,8828968.0,8889798.0,4888994.0,4833700.0
86th Street—Hunter College,,Manhattan,4,,,5442423.0,8840160.0,3346828.0,3464781.0,9988068.0,8802849.0,8898747.0,12401398.0,12008682.0,11862487.0
77th Street,,Manhattan,4,,,6407218.0,6832811.0,4882481.0,,,,,,,
86th Street,,Manhattan,4,,,8476882.0,8478928.0,18920622.0,18281488.0,13388009.0,13088148.0,4761798.0,4891883.0,4893274.0,4829804.0
96th Street,,Manhattan,4,,,8899460.0,6882883.0,8804892.0,4921498.0,8229019.0,8999148.0,8084217.0,8291748.0,4078198.0,3892983.0
103rd Street,,Manhattan,4,,,1821987.0,1736824.0,8379206.0,8727898.0,3229281.0,8047289.0,8198993.0,8182223.0,3842801.0,2826408.0
110th Street,,Manhattan,4,,,7116700.0,6777881.0,6108880.0,8649484.0,8494740.0,8031191.0,8029408.0,46838200.0,44076900.0,42888188.0
116th Street,,Manhattan,4,,,10997128.0,11286687.0,9999278.0,68768800.0,42980878.0,47488940.0,47988840.0,48018787.0,,
125th Street,,Manhattan,4,,,68616790.0,68187190.0,61817107.0,,,81818720.0,,1823088.0,1880896.0,1869069.0
JEROME AVENUE BRANCH,,Bronx,4,,,1673468.0,1609209.0,1884991.0,1896889.0,1839828.0,1848418.0,1849688.0,1849888.0,2934087.0,2882740.0
"138th Street, Grand Concourse",,Bronx,4,,,1606228.0,1888986.0,1609818.0,1484088.0,2700248.0,2888482.0,2888782.0,8188888.0,4988404.0,4896736.0
"149th St., Grand Concourse (Upper Level)",,Bronx,4,,,8318888.0,3486868.0,8644080.0,3128878.0,3228884.0,8497880.0,8836887.0,8183488.0,3033298.0,2947033.0
