label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
Alabama Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289527.0,312184.0,286173.0,292431.0,278715.0,266787.0,255302.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Chauncey St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059370.0,1117043.0,1057053.0,997326.0,914626.0,821405.0,736636.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Halsey St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851674.0,1930297.0,1755163.0,1670621.0,1498690.0,1358916.0,1223716.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Gates Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905563.0,2015007.0,1897039.0,1767396.0,1639834.0,1522000.0,1426591.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Kosciusko St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146130.0,1235394.0,1133901.0,1058907.0,978836.0,902729.0,825433.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Myrtle Ave./Broadway,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841923.0,1950810.0,1763811.0,1678597.0,1557070.0,1448139.0,1408101.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Flushing Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593280.0,1711066.0,1547603.0,1456715.0,1411374.0,1354284.0,1318195.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Lorimer St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028913.0,1091070.0,1019304.0,961006.0,883312.0,827062.0,793412.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Hewes St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198514.0,1253662.0,1153462.0,1002415.0,931360.0,853890.0,816415.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Marcy Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517989.0,2593663.0,2337514.0,2212095.0,2076402.0,1938303.0,1903811.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Segment Total,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25299701.0,26704402.0,24682490.0,23257683.0,21860233.0,20203601.0,18949244.0,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Ave.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037957.0,1057759.0,984890.0,967072.0,948684.0,922221.0,883842.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Fresh Pond Rd.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045561.0,1068391.0,989821.0,948410.0,936338.0,904087.0,894204.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Forest Ave.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740471.0,735459.0,662652.0,664543.0,581543.0,541871.0,494963.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Seneca Ave.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355221.0,351269.0,308988.0,297855.0,298930.0,297722.0,315753.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Knickerbocker Ave.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947840.0,954078.0,820467.0,794518.0,755152.0,703768.0,673752.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Central Ave.,Myrtle Ave.,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602747.0,698913.0,505085.0,483503.0,467037.0,436252.0,396718.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Tompkins Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341058.0,245578.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Nostrand Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400639.0,290617.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Franklin Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298152.0,213325.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Franklin Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425594.0,332247.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Grand Avenue (Closed 1/21/53),Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Washington Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435025.0,307422.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Vanderbilt Ave.,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395578.0,104985.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Conductor's Collections,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332579.0,266986.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Segment Total,Sumner-Vandrbilt Closed 10/3/69,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7358422.0,6727066.0,4271903.0,4105901.0,3987568.0,3785921.0,3705238.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
DeKalb Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Greene Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Franklin Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Nostrand Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Tompkins Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Sumner Ave.,Lexington Av El Closed 10/13/50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
