label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
238th Street,3,199686.0,207835.0,230430.0,240370.0,279531.0,317564.0,401849.0,485108.0,686960.0,805657.0,Bronx
242d Street (Van Cortlandt Pk.),3,3299573.0,4042700.0,3706240.0,3705440.0,3669549.0,3848093.0,3978325.0,4814783.0,3887501.0,4807966.0,Bronx
"MANHATTAN, LENOX AVE.",3,80648159.0,82084400.0,80936754.0,81860657.0,82601873.0,82369874.0,81829884.0,82916837.0,84098805.0,83745879.0,Manhattan
110th Street,3,6612975.0,5837200.0,5753502.0,5638086.0,5790600.0,5859340.0,6128660.0,6371858.0,6773166.0,6552896.0,Manhattan
116th Street,3,7374418.0,7008200.0,7008301.0,7312544.0,7750113.0,7839073.0,8151398.0,8507513.0,8671300.0,8924413.0,Manhattan
125th Street,3,6497259.0,6830800.0,6658867.0,6901294.0,7429608.0,7614745.0,7728906.0,7862052.0,8292906.0,8068114.0,Manhattan
135th Street,3,8993107.0,9428000.0,8832498.0,9121606.0,9399181.0,8920162.0,8506151.0,8270021.0,8613619.0,8553670.0,Manhattan
145th Street,3,7719418.0,7798800.0,7684756.0,7750088.0,8060113.0,7818635.0,8184004.0,8285231.0,8811275.0,9041413.0,Manhattan
"BRONX, WEST FARMS BR.",3,47941869.0,49460820.0,47466401.0,47055856.0,48745806.0,49560648.0,51183089.0,61668716.0,54038495.0,63661438.0,Bronx
Mott Avenue,3,3817402.0,4110000.0,,,,3107408.0,3145981.0,4189203.0,3798683.0,4190983.0,Bronx
Third Avenue,3,7210912.0,7739200.0,7649763.0,7496903.0,7765769.0,7107821.0,,5189202.0,7198683.0,4847336.0,Bronx
Jackson Avenue,3,4678514.0,5089100.0,4855800.0,4619502.0,4652019.0,4008040.0,4527099.0,4479085.0,4519550.0,4470701.0,Bronx
Prospect Avenue,3,7816908.0,8549200.0,8253900.0,8094700.0,8328166.0,8594338.0,8846540.0,9483457.0,9968413.0,10376619.0,Bronx
Intervale Avenue,3,5906590.0,3964200.0,3683188.0,3470460.0,3566028.0,3568664.0,3608706.0,3592144.0,3692950.0,3715797.0,Bronx
